,Date,Day_of_Week,Time_Slot,Route_ID,Route_Name,Bus_ID,Driver_ID,Bus_Type,Total_Seats,Seats_Booked,Occupancy_Rate (%),Ticket_Price,Revenue_Per_Trip,Fuel_Consumption_Liters,Fuel_Efficiency_KMPL,Maintenance_Status,Last_Service_Date,Breakdown_Incidents,Disruption_Likelihood,Risk_Score,Delay_Probability,Expense_Per_Trip,Profit_Per_Trip,Weather,Festival_Season,Holiday,Special_Event,Avg_Travel_Time (mins),Delay_Mins,Start_Desitination,End_Destination,Distance_KM
0,23-03-2024,Saturday,Morning,216,Surat-Rajkot,GJ02-Sleeper-427,D494,Express,40,51,127.5,150,7650,9,5.09,Needs Repair,21-04-2024,2,0.35,Low,0.14,3067,4583,Clear,1,0,,202,25,Surat,Rajkot,173
1,25-06-2024,Tuesday,Night,119,Vadodara-Surat,GJ07-Sleeper-323,D496,Express,60,33,55,200,6600,8.7,4.31,Needs Repair,14-01-2024,1,0.37,Low,0.71,6052,548,Clear,0,0,Navratri,265,0,Vadodara,Surat,193
2,29-06-2024,Saturday,Morning,274,Gandhinagar-Bhavnagar,GJ07-Express-411,D202,Express,50,22,44,300,6600,9.84,5.02,Good,19-04-2024,0,0.87,Low,0.72,6152,448,Clear,1,0,,213,29,Gandhinagar,Bhavnagar,151
3,28-01-2024,Sunday,Afternoon,273,Ahmedabad-Vadodara,GJ09-Express-439,D441,Non-AC,60,24,40,300,7200,10.04,5.03,Good,07-03-2024,2,0.53,Medium,0.59,4723,2477,Rainy,1,1,IPL Match,133,12,Ahmedabad,Vadodara,237
4,26-05-2024,Sunday,Night,498,Surat-Rajkot,GJ09-Sleeper-409,D237,Sleeper,40,34,85,150,5100,8.61,5.29,Needs Repair,28-01-2024,1,0.6,Medium,0.28,5388,-288,Rainy,0,0,IPL Match,169,14,Surat,Rajkot,115
5,10-02-2024,Saturday,Morning,113,Ahmedabad-Vadodara,GJ01-Express-257,D399,Non-AC,60,28,46.67,300,8400,6.55,5.99,Good,28-02-2024,1,0.67,High,0.44,5868,2532,Rainy,1,0,Navratri,191,8,Ahmedabad,Vadodara,243
6,23-04-2024,Tuesday,Night,431,Gandhinagar-Bhavnagar,GJ04-Sleeper-394,D112,Express,50,60,120,150,9000,7.42,5.89,Needs Repair,05-03-2024,0,0.37,Low,0.72,4305,4695,Clear,0,0,Festival Season,295,20,Gandhinagar,Bhavnagar,62
7,17-05-2024,Friday,Night,320,Gandhinagar-Bhavnagar,GJ07-AC-281,D102,Express,60,30,50,150,4500,7.97,4.95,Good,23-04-2024,1,0.27,Low,0.67,4657,-157,Clear,0,1,,221,2,Gandhinagar,Bhavnagar,233
8,16-04-2024,Tuesday,Afternoon,325,Surat-Rajkot,GJ01-Sleeper-426,D133,Express,60,42,70,250,10500,8.88,5.51,Needs Repair,27-06-2024,1,0.61,Medium,0.53,5304,5196,Rainy,1,1,IPL Match,256,26,Surat,Rajkot,160
9,03-03-2024,Sunday,Morning,337,Ahmedabad-Vadodara,GJ04-Non-AC-358,D442,Non-AC,40,39,97.5,250,9750,6.52,5.48,Good,07-06-2024,2,0.23,Low,0.8,4159,5591,Rainy,1,1,Festival Season,137,30,Ahmedabad,Vadodara,208
10,09-01-2024,Tuesday,Night,421,Gandhinagar-Bhavnagar,GJ08-AC-315,D293,AC,60,49,81.67,200,9800,8.64,5.46,Good,11-06-2024,0,0.7,Medium,0.5,5704,4096,Rainy,0,0,Navratri,256,27,Gandhinagar,Bhavnagar,83
11,15-02-2024,Thursday,Morning,265,Ahmedabad-Vadodara,GJ08-Sleeper-105,D329,Non-AC,50,28,56,250,7000,8.49,5.99,Needs Repair,21-03-2024,3,0.37,Medium,0.74,5310,1690,Foggy,1,1,Navratri,251,2,Ahmedabad,Vadodara,88
12,12-06-2024,Wednesday,Night,437,Gandhinagar-Bhavnagar,GJ03-Non-AC-374,D200,AC,40,27,67.5,250,6750,8.51,5.34,Good,15-02-2024,3,0.2,Low,0.4,5356,1394,Clear,0,1,Festival Season,276,24,Gandhinagar,Bhavnagar,244
13,23-01-2024,Tuesday,Afternoon,386,Vadodara-Surat,GJ02-Non-AC-385,D455,Non-AC,60,41,68.33,250,10250,8.16,4.43,Good,08-05-2024,1,0.75,Low,0.6,4903,5347,Foggy,1,0,IPL Match,177,13,Vadodara,Surat,185
14,16-03-2024,Saturday,Afternoon,421,Ahmedabad-Vadodara,GJ08-Express-308,D401,Express,60,48,80,300,14400,9.42,5.81,Needs Repair,10-02-2024,1,0.89,Low,0.26,3913,10487,Foggy,1,0,,285,13,Ahmedabad,Vadodara,169
15,13-06-2024,Thursday,Night,481,Ahmedabad-Vadodara,GJ04-Express-277,D108,Sleeper,40,54,135,150,8100,7.32,5.95,Needs Repair,19-03-2024,0,0.57,Low,0.56,5042,3058,Foggy,1,0,,298,11,Ahmedabad,Vadodara,175
16,08-01-2024,Monday,Morning,473,Ahmedabad-Vadodara,GJ03-AC-162,D196,Non-AC,60,53,88.33,250,13250,10.1,4.81,Needs Repair,30-04-2024,2,0.67,Medium,0.56,3325,9925,Foggy,0,1,Festival Season,265,9,Ahmedabad,Vadodara,104
17,18-06-2024,Tuesday,Morning,399,Surat-Rajkot,GJ05-Express-278,D471,Express,40,46,115,150,6900,6.57,4.61,Needs Repair,17-04-2024,1,0.6,Low,0.23,5862,1038,Rainy,0,1,IPL Match,226,23,Surat,Rajkot,76
18,18-02-2024,Sunday,Morning,449,Ahmedabad-Vadodara,GJ04-Express-462,D167,Non-AC,40,44,110,250,11000,8.49,4.03,Needs Repair,30-04-2024,0,0.14,Medium,0.18,5954,5046,Rainy,0,0,Navratri,197,4,Ahmedabad,Vadodara,167
19,17-04-2024,Wednesday,Night,118,Ahmedabad-Vadodara,GJ06-AC-307,D234,AC,50,33,66,150,4950,9.24,4.4,Good,03-01-2024,2,0.44,Medium,0.11,4475,475,Clear,0,0,Festival Season,131,13,Ahmedabad,Vadodara,102
20,02-01-2024,Tuesday,Afternoon,193,Gandhinagar-Bhavnagar,GJ06-AC-140,D403,Non-AC,50,22,44,150,3300,9.16,4.67,Good,04-03-2024,2,0.77,High,0.72,3552,-252,Foggy,0,1,Navratri,223,24,Gandhinagar,Bhavnagar,88
21,11-05-2024,Saturday,Morning,133,Surat-Rajkot,GJ06-Non-AC-365,D388,AC,50,20,40,300,6000,9.39,4.08,Needs Repair,02-03-2024,1,0.55,High,0.7,3656,2344,Clear,0,0,,176,1,Surat,Rajkot,114
